course_id,student_id,course_name,teacher,weekday,period_start,period_end,location,weeks
C0352,20240043,会计学基础,孙志刚,2,5,6,3号教学楼 403,3-10周
C0353,20240043,管理学原理,赵建国,5,5,6,3号教学楼 102,2-9周
C0354,20240043,计量经济学,韩博,4,1,2,2号教学楼 303,3-10周
C0355,20240043,微观经济学,张明华,5,7,8,逸夫楼 302,3-13周
C0356,20240043,市场营销学,韩博,5,3,4,逸夫楼 305,4-12周
C0357,20240043,形势与政策,林婷,2,1,2,逸夫楼 102,3-9周
C0358,20240043,大学体育（篮球）,郭晓东,3,1,2,操场 301,2-12周
C0359,20240044,嵌入式系统,王丽,3,7,8,实验中心 105,2-15周
C0360,20240044,高等数学A（下）,林婷,1,1,2,1号教学楼 202,3-13周
C0361,20240044,大学物理,韩博,3,5,6,2号教学楼 302,1-12周
C0362,20240044,模拟电子技术,陈伟,2,1,2,实验中心 102,4-16周
C0363,20240044,通信原理,周晓燕,1,5,6,逸夫楼 403,4-13周
C0364,20240044,数字电子技术,傅磊,2,5,6,实验中心 102,3-11周
C0365,20240044,形势与政策,何芳,1,3,4,逸夫楼 405,1-13周
C0366,20240044,大学体育（篮球）,张明华,3,3,4,操场 404,2-10周
C0367,20240045,线性代数,王丽,4,5,6,1号教学楼 301,1-10周
C0368,20240045,数字逻辑,陈伟,2,7,8,2号教学楼 103,1-9周
C0369,20240045,离散数学,刘洋,4,1,2,2号教学楼 404,4-9周
C0370,20240045,编译原理,刘洋,4,7,8,逸夫楼 302,2-13周
C0371,20240045,高等数学A（下）,陈伟,3,7,8,1号教学楼 105,2-13周
C0372,20240045,计算机网络,李志强,5,7,8,综合教学楼 103,4-11周
C0373,20240045,马克思主义基本原理,曹鹏,4,3,4,逸夫楼 205,1-15周
C0374,20240045,大学生心理健康,郭晓东,3,5,6,逸夫楼 302,1-14周
C0375,20240046,宏观经济学,杨帆,2,3,4,逸夫楼 102,4-14周
C0376,20240046,微观经济学,何芳,2,5,6,逸夫楼 103,2-12周
C0377,20240046,管理学原理,刘洋,4,5,6,3号教学楼 401,1-9周
C0378,20240046,市场营销学,张明华,1,7,8,逸夫楼 305,2-11周
C0379,20240046,计量经济学,吴建国,3,3,4,2号教学楼 101,2-11周
C0380,20240046,会计学基础,王丽,1,5,6,3号教学楼 304,1-14周
C0381,20240046,马克思主义基本原理,陈伟,3,5,6,逸夫楼 204,4-14周
C0382,20240046,大学英语（2）,彭伟,2,1,2,逸夫楼 405,1-11周
C0383,20240047,英汉翻译,吴建国,2,5,6,逸夫楼 201,3-16周
C0384,20240047,英语视听说,周晓燕,1,5,6,逸夫楼 201,3-13周
C0385,20240047,英美文学,李志强,1,1,2,3号教学楼 404,4-11周
C0386,20240047,综合英语（4）,郭晓东,4,7,8,逸夫楼 305,4-10周
C0387,20240047,英语写作,刘洋,4,3,4,逸夫楼 401,1-13周
C0388,20240047,中国近现代史纲要,王丽,3,1,2,3号教学楼 302,4-11周
C0389,20240047,大学英语（2）,张明华,3,7,8,逸夫楼 402,4-11周
C0390,20240048,大学物理,李志强,2,1,2,2号教学楼 405,4-11周
C0391,20240048,模拟电子技术,张明华,1,5,6,实验中心 401,3-16周
C0392,20240048,嵌入式系统,刘洋,1,3,4,实验中心 301,4-10周
C0393,20240048,单片机原理,沈洁,3,7,8,实验中心 403,1-15周
C0394,20240048,数字电子技术,郭晓东,2,5,6,实验中心 302,4-9周
C0395,20240048,大学生心理健康,孙志刚,4,5,6,逸夫楼 305,1-11周
C0396,20240048,中国近现代史纲要,何芳,1,1,2,3号教学楼 405,2-9周
C0397,20240048,形势与政策,邓丽华,4,7,8,逸夫楼 405,2-16周
C0398,20240049,微观经济学,李志强,2,3,4,逸夫楼 401,4-12周
C0399,20240049,会计学基础,吴建国,2,5,6,3号教学楼 101,4-15周
C0400,20240049,计量经济学,杨帆,5,5,6,2号教学楼 401,4-10周
C0401,20240049,管理学原理,陈伟,4,3,4,3号教学楼 101,1-13周
C0402,20240049,市场营销学,郭晓东,4,5,6,逸夫楼 405,4-9周
C0403,20240049,宏观经济学,李志强,5,7,8,逸夫楼 403,2-9周
C0404,20240049,马克思主义基本原理,吴建国,3,1,2,逸夫楼 303,3-16周
C0405,20240049,大学生心理健康,陈伟,1,3,4,逸夫楼 304,3-13周
C0406,20240049,形势与政策,周晓燕,4,1,2,逸夫楼 402,4-16周
C0407,20240050,单片机原理,周晓燕,2,3,4,实验中心 102,1-16周
C0408,20240050,通信原理,周晓燕,1,5,6,逸夫楼 303,4-15周
C0409,20240050,高等数学A（下）,孙志刚,1,1,2,1号教学楼 304,4-11周
C0410,20240050,信号与系统,何芳,4,5,6,综合教学楼 203,1-13周
C0411,20240050,大学物理,李志强,1,7,8,2号教学楼 205,2-12周
C0412,20240050,嵌入式系统,曹鹏,3,7,8,实验中心 101,4-11周
C0413,20240050,数字电子技术,孙志刚,2,1,2,实验中心 305,3-13周
C0414,20240050,马克思主义基本原理,何芳,4,7,8,逸夫楼 403,2-16周
C0415,20240050,形势与政策,张明华,5,1,2,逸夫楼 305,3-13周
C0416,20240050,大学英语（2）,杨帆,3,5,6,逸夫楼 303,2-11周
